Ask Anders Anything,.NET,"Anders Hejlsberg, Seth Juarez",4/30/2015,http://channel9.msdn.com/Events/Build/2015/C9-11
Ask Us Anything About Visual Studio IDE,200 - Intermediate,"Mark Wilson-Thomas, Seth Juarez, Tarek Madkour",4/30/2015,http://channel9.msdn.com/Events/Build/2015/C9-17
Azure Active Directory: Identity Management as a Service for Modern Applications,200 - Intermediate,Stuart Kwan,4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-738
"Azure API Apps for Web, Mobile and Logic Apps",".NET, C#, Mobile Development, Web Platform",Wade Wegner,4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-760
Azure App Service Architecture,ASP.NET,"Scott Hanselman, Scott Hunter",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-628
Azure IoT Security,200 - Intermediate,"Clemens Vasters, Dan Rosanova",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-625
Azure Media Services Developer Deep Dive,200 - Intermediate,Mingfei Yan,4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-766
Azure Resource Manager,200 - Intermediate,Ryan Jones,4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-659
Azure Resource Manager,,"Corey Sanders, Seth Juarez",4/30/2015,http://channel9.msdn.com/Events/Build/2015/C9-21
Azure Storage for Developers: Overview and New Capabilities,200 - Intermediate,"Jason Hogg, Vamshidhar Kommineni",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-774
"Azure Storage Performance, Scalability and Security",200 - Intermediate,Jeff Irwin,4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-68
Azure Virtual Machines Deep Dive,200 - Intermediate,"Boris Scholl, Mahesh Thiagarajan",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-688
Be Even More Productive with Visual C++ 2015 IDE Tips and Tricks!,"C++, Visual Studio",Gabriel Ha,4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-70
Best Practices for Creating IoT Solutions with Azure,200 - Intermediate,Kevin Miller,4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-611
"Bring Fluid, Responsive, and Highly Scalable UI Experiences to Your Universal Windows Apps with the…",XAML/UX,James Clarke,4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-672
"Build an Add-in for Outlook.com, Outlook and Office 365 that Reaches Over 400 Million Users",300 - Experienced,Andrew Salamatov,4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-694
Build the Next Big Thing with Azure’s NoSQL Service: DocumentDB,200 - Intermediate,Ryan CrawCour,4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-729
Build with Bing: Use Bing APIs and Tools to Enrich Your Apps and Make Them More Discoverable,200 - Intermediate,"Andre Furtado, Vincent Wehren",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-727
Building a Single-Page App Using Angular and TypeScript Using Office 365 APIs,300 - Experienced,"Andrew Connell, Dan Wahlin, Jeremy Thake",4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-689
Building Accessible Universal Windows Apps,200 - Intermediate,"Brett Humphrey, Chris Anderson",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-612
Building and Monetizing Applications through Microsoft Azure Marketplace,200 - Intermediate,"Chris Shaw, Karandeep Anand",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-674
Building Apps for USB Accessories,300 - Experienced,"Arvind Aiyar, George Roussos",4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-81
Building Big Data Applications Using Azure HDInsight Service,200 - Intermediate,"Asad Khan, Tim Benroeck",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-712
Building C++ Universal Apps with Visual Studio 2015,"C++, UWP, Visual Studio",Raman Sharma,4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-82
Building Compelling Bluetooth Apps in Windows 10,300 - Experienced,"Ellick Sung, Kiran Pathakota, Todd Paris",4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-739
Building Consumer and Enterprise Device Solutions with Windows 10 IoT,"Internet of Things, IoT",Cyra Richardson,4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-752
Building Cross-Platform Mobile Apps in C++ with Visual Studio 2015,"C++, Cross-Platform Development, Game Development, Mobile Development, Visual Studio",Ankit Asthana,4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-714
"Building Data Analytics Pipelines Using Azure Data Factory, HDInsight, Azure ML and More",200 - Intermediate,Mike Flasko,4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-690
"Building Faster, More Capable Cloud-Powered Apps in Windows 10",200 - Intermediate,"Himadri Sarkar, Michael Bishop, Sidharth Nabar",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-83
Building Highly Scalable and Available SaaS Applications with Azure SQL Database,200 - Intermediate,"Bill Gibson, Torsten Grabs",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-678
Building Multi-Device Apps with Xamarin with Office 365 APIs,300 - Experienced,"Chakkaradeep Chandran, James Montemagno",4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-661
Building Network Aware Applications Using Azure Resource Provider (RP),200 - Intermediate,"Stephen Malone, Yousef Khalidi",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-647
Building Office Add-ins using Node.JS,300 - Experienced,"Andrew Connell, Jeremy Thake",4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-699
"Building Resilient, Scalable Services with Microsoft Azure Service Fabric",200 - Intermediate,"Mark Fussell, Vipul Modi",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-700
"Building Rich, Contextually Aware Universal Windows Apps Using Sensors",200 - Intermediate,"Lisa Ong, Rinku Sreedhar",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-735
Building Solutions with Office Graph,300 - Experienced,"Helge Solheim, Jon Meling",4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-676
Building Universal Windows Apps with Office 365 APIs,300 - Experienced,Chakkaradeep Chandran,4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-767
Building Universal Windows Games with Unity,"Cross-Platform Development, Game Development, Graphics","Adam Tuliper, Jaime Rodriguez",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-648
"C# 6, VB14, and all Things Roslyn",.NET,"Dustin Campbell, Mads Torgersen, Seth Juarez",4/30/2015,http://channel9.msdn.com/Events/Build/2015/C9-06
Camera: Developing Powerful Camera Apps,Media,"Mike Morante, Sandeep Kanumuri",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-730
Case Studies of HoloLens App Development,200 - Intermediate,"Aviad Almagor, Jeff Norris, Mark Griswold, Megan Saunders, Rukari Austin",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-744
Chatting with Snover,200 - Intermediate,"Jeffrey Snover, Seth Juarez",4/30/2015,http://channel9.msdn.com/Events/Build/2015/C9-01
Closing Ceremony,200 - Intermediate,"Charles Torre, Duncan Mackenzie, Larry Larsen, Seth Juarez",4/30/2015,http://channel9.msdn.com/Events/Build/2015/C9-18
Cloud Authentication Troubleshooting and Recipes for Developers,200 - Intermediate,Mat Velloso,4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-740
"Compiling Objective-C Using the Visual Studio 2015 C++ Code Generation that Builds Windows, SQL,…","C++, iOS, Visual Studio","Jim Radigan, Salmaan Ahmed",4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-610
Connecting to OneNote in the Cloud with Office 365 APIs,"Android, iOS, Office 365 APIs, Office Add-ins",Gareth Jones,4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-715
Connecting Your Devices to the Azure IoT Suite,200 - Intermediate,Elio Damaggio,4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-67
Cortana and Speech Platform In Depth,Cortana,"Adina Trufinescu, Khuram Shahid",4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-716
Cortana Extensibility in Universal Windows Apps,"Cortana, Internet of Things, IoT","Ali Emami, Bo Yan, Ed Doran, Marcus Ash, Michael Calcagno, Paul Bloom, Rob Chambers",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-691
Cross-Platform Continuous Delivery with Release Management to Embrace DevOps,"Cross-Platform Development, DevOps, Visual Studio",Donovan Brown,4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-649
Cross-Platform Localization with the Multilingual App Toolkit,200 - Intermediate,Cameron Lerum,4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-84
Data Binding: Boost Your Apps' Performance Through New Enhancements to XAML Data Binding,XAML/UX,"Chipalo Street, Sam Spencer",4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-635
Day One Keynote Presentation,Keynote,"Satya Nadella, Scott Guthrie, Terry Myerson",4/30/2015,http://channel9.msdn.com/Events/Build/2015/KEY01
Debugger Tips and Tricks for .NET Developers with Visual Studio 2015,".NET, Diagnostics, Visual Studio",Andrew Hall,4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-677
Debugging Performance Issues Using Visual Studio 2015,Visual Studio,"Andrew Hall, Angelos Petropoulos",4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-731
Deep Dive into ASP.NET 5,ASP.NET,"Damian Edwards, Scott Hanselman",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-726
Deep Dive into Microsoft Azure Service Fabric Reliable Actors,Azure,Claudio Caldato,4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-66
Deep Dive into the Office 365 Groups REST API,300 - Experienced,"Rohit Nagarmal, Yina Arenas",4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-701
Deep Dive into XAML and .NET Universal Windows App Development,200 - Intermediate,Unni Ravindranathan,4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-790
Deploying and Managing Services with Microsoft Azure Service Fabric,200 - Intermediate,"Chacko Daniel, Matthew Snider",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-717
Deploying Complex Open Source Workloads on Azure,200 - Intermediate,"Brian Benz, Haishi Bai, Mahesh Thiagarajan",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-732
Design: UX Patterns and Responsive Techniques for Universal Windows Apps,"Design, XAML/UX","Carmen Zlateff, Jeff Arnold",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-658
Designing and Developing the Ultimate Windows App Experience,"Design, XAML/UX","Lynnette Reed, Rob Cameron",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-768
Designing and Sizing a Global Scale Telemetry Platform on Azure Event Hubs,200 - Intermediate,Dan Rosanova,4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-69
Develop Modern Native Applications with Azure Active Directory,200 - Intermediate,Vittorio Bertocci,4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-769
Develop Modern Web Applications with Azure Active Directory,200 - Intermediate,Vittorio Bertocci,4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-753
Developing 3D Printing Apps and Services in Windows 10,200 - Intermediate,"Emmett Lalish, Steve Olsson",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-718
Developing Against Outlook.com AND Office 365,300 - Experienced,"Rohit Nagarmal, Venkat Ayyadevara",4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-742
Developing Audio and Video Apps,Media,David Mebane,4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-747
Developing for Windows 10,200 - Intermediate,"Kevin Gallo, Seth Juarez",4/30/2015,http://channel9.msdn.com/Events/Build/2015/C9-14
Developing for HoloLens,200 - Intermediate,"Alex Kipman, Seth Juarez",4/30/2015,http://channel9.msdn.com/Events/Build/2015/C9-08
Developing Universal Windows Apps in Visual Studio 2015,Visual Studio,Navit Saxena,4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-650
DevOps as a Strategy for Business Agility,"Application Insights, DevOps, Team Foundation Server, Visual Studio Online",Ed Blankenship,4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-615
Diagnosing Issues with Cloud Applications Hosted in Azure IaaS and PaaS Using Visual Studio,"Diagnostics, Visual Studio",Boris Scholl,4/30/2015,http://channel9.msdn.com/Events/Build/2015/4-754
Discovering Windows 10 Devices Over Wi-Fi: DNS-SD API,300 - Experienced,Jay Mahendru,4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-79
Display Scaling: What It Is and What You Need to Know About it to Have Great Visuals,200 - Intermediate,Steve Wright,4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-63
Enterprise Data Protection: Building Universal Windows Apps That Keep Work and Personal Data…,"Enterprise, Security",Derek Adam,4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-662
"Entity Framework 7: Data for Web, Phone, Store, and Desktop",200 - Intermediate,Rowan Miller,4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-693
"Extending Custom Solutions with Excel, PowerPoint, and Word Add-ins",300 - Experienced,"Rolando Jimenez Salgado, Tristan Davis",4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-651
"Fast and Powerful Diagnostics, and Problem Solving with Application Insights","Application Insights, Diagnostics",Victor Mushkatin,4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-719
From the Small Screen to the Big Screen: Building Universal Windows App Experiences with XAML,XAML/UX,"Harini Kannan, Tim Heuer",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-679
"Gaining Real-Time IoT Insights using Azure Stream Analytics, AzureML and PowerBI",200 - Intermediate,"Bryan Hollar, Clemens Szyperski, Dipanjan Banik, Richard McCormack, Todd Van Nurden",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-708
Game Developers: Get the Most Out of Windows 10,"Game Development, Graphics","Brian Peek, Jaime Rodriguez",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-637
"Get Your Hands Dirty with the Office 365 APIs, Authentication and SDKs",400 - Advanced/Expert,Rob Howard,4/30/2015,http://channel9.msdn.com/Events/Build/2015/4-630
Getting Great Performance Out of Cordova Apps,"Android, Cross-Platform Development, iOS, Visual Studio",Ryan Salva,4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-756
Getting Started with Cross-Platform Mobile Development with Apache Cordova,"Android, Cross-Platform Development, iOS, JavaScript, Mobile Development, Store, TypeScript, Visual Studio, Web Platform",Polita Paulus,4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-706
Getting Your Apps Connected with Networking APIs,200 - Intermediate,Lillian Tseng,4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-86
"Go Mobile with C#, Visual Studio and Xamarin","Android, iOS, Mobile Development, Visual Studio","James Montemagno, Miguel de Icaza",4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-770
"Go Mobile! Login, Sync Data, and Connect to Enterprise APIs with Azure App Service",".NET, Android, C#, Enterprise, iOS, Mobile Development, Node.js, Visual Studio, Web Platform","Donna Malayeri, Kirill Gavrylyuk",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-713
Hacking Augmented Reality with Kinect,300 - Experienced,"Andy Wilson, Ben Lower",4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-87
"Harness the Full Power of Digital Inking in Your Universal Windows App with Ink Recognition,…",Input,"Francis Zhou, Xiao Tu",4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-705
Harnessing the Full Power of Input in Universal Windows Apps,Input,"Kyle Beck, Reed Townsend",4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-622
Historical Debugging with IntelliTrace in Visual Studio 2015,"Diagnostics, IntelliTrace, Visual Studio",Angelos Petropoulos,4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-771
Hosted Web Apps and Web Platform Innovations,"Cross-Platform Development, Web Platform","Jeffrey Burtoft, Kiril Seksenov",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-665
"HTTP/2 in Windows 10: Browser, Apps and Web Server",300 - Experienced,Rob Trace,4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-88
Innovation in C++ Code Generation,200 - Intermediate,,4/30/2015,http://channel9.msdn.com/Events/Build/2015/C9-12
Integrating Web Apps with Office 365,".NET, App Model, C#, JavaScript, Office, Office 365, Office 365 APIs, Office Add-ins, Web Platform","Dorrene Brown, Todd Baginski",4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-728
Internet of Things Show Live,200 - Intermediate,,4/30/2015,http://channel9.msdn.com/Events/Build/2015/C9-10
Internet of Things Overview,"Cross-Platform Development, Internet of Things, IoT","Sam George, Steve Teixeira",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-652
Introducing ASP.NET 5,ASP.NET,"Scott Hanselman, Scott Hunter",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-687
Introducing DirectInk: Learn How to Unlock New Opportunities Using Ink in Your App,Input,"Jianfeng Lin, Sriram Subramanian",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-681
Introducing the Windows 10 App Model,App Model,"Akhil Kaza, Andrew Clinick, Matt Hidinger",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-617
Introducing Win2D: DirectX-Powered Drawing in C#,"C#, Graphics, Open Source",Simon Tao,4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-631
Introduction and What’s New in Azure IaaS,200 - Intermediate,"Bryon Surace, Corey Sanders",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-646
iOS and Android Apps with Office 365,"Android, Cross-Platform Development, iOS, Mobile Development, Office 365 APIs, Open Source","Joshua Gavant, Todd Baginski",4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-722
JavaScript Frameworks in Your Apps and Sites from WinJS and Beyond,"JavaScript, Open Source, Web Platform","Chris Anderson, Kevin Hill",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-720
Keynote Presentation,Keynote,"David Treadwell, John Shewchuk, Joseph Sirosh, Kevin Gallo, Steve Guggenheimer",4/30/2015,http://channel9.msdn.com/Events/Build/2015/KEY02
Lessons From Scale: Building Applications for Azure,200 - Intermediate,Mark Russinovich,4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-667
"Leveraging Maps and Location Across Phone, Tablet, and PC in Your Windows Apps",200 - Intermediate,"Mike Ammerlaan, Rohan Thakkar",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-757
Localize Windows Apps Using the Multilingual App Toolkit,200 - Intermediate,Cameron Lerum,4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-90
Logic Apps,200 - Intermediate,"Ilya Grebnov, Stephen Siciliano",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-707
Making Money with Office 365,"App Model, Monetization, Office, Office 365, Office 365 APIs, Office Add-ins, Store","Dene Cleaver, Jim Epes",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-758
Managing Azure Applications Using the New Azure Portal,200 - Intermediate,"Adam Abdelhamed, Michael Flanakin",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-653
Managing Cloud Environment and Application Lifecycle Using Azure Tools and Visual Studio Online,"DevOps, Visual Studio Online","Boris Scholl, Claude Remillard",4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-721
Managing Mobile Devices and Applications in an Enterprise,"Enterprise, Security",Janani Vasudevan,4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-654
"Maximize Your Coding Productivity for Apps, Devices, and Services with Visual Studio 2015",Visual Studio,Mark Wilson-Thomas,4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-669
Meet the Visual Studio Code team,.NET,"Chris Dias, Erich Gamma, Seth Juarez",4/30/2015,http://channel9.msdn.com/Events/Build/2015/C9-05
Memory and CPU Policy in Windows 10,300 - Experienced,Andrew Whitechapel,4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-91
Microsoft Azure Service Fabric Architecture,200 - Intermediate,Gopal Kakivaya,4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-640
Microsoft Band: Developing for Microsoft Band and Microsoft Health,"Android, Cross-Platform Development, Internet of Things, iOS, IoT, Mobile Development, Visual Studio","Ali Alvi, Tony Andrews",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-619
Microsoft Passport and Windows Hello: Moving Beyond Passwords and Credential Theft,"Enterprise, Security","Anoosh Saboori, Mike Stephens",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-639
Microsoft Edge,200 - Intermediate,"Charles Morris, Sean Lyndersay, Seth Juarez",4/30/2015,http://channel9.msdn.com/Events/Build/2015/C9-13
Modern Data on Azure,200 - Intermediate,"Lance Olson, Shawn Bice, Tracy Daugherty",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-663
Modern Web Tooling in Visual Studio 2015,200 - Intermediate,Mads Kristensen,4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-675
Modern Web Tooling,,"Mads Kristensen, Seth Juarez",4/30/2015,http://channel9.msdn.com/Events/Build/2015/C9-19
Monetize and Promote Your Universal Windows App with Ads,"Monetization, Store","Matt Sullivan, Nir Froimovici, Vijay Rajagopalan",4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-761
"Money, Fame, and Flexibility: New Extensibility for Visual Studio and Visual Studio Online","Team Foundation Server, Visual Studio, Visual Studio Online","Sam Harwell, Tarek Madkour, Will Smythe",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-772
More Engaged Mobile App Users with Azure Mobile Engagement,Azure,Karl Piteira,4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-64
Movie Creator and Video Turner,,,4/30/2015,http://channel9.msdn.com/Events/Build/2015/C9-20
Moving to the Universal Windows Platform: Porting an App from Windows 8.1 XAML or Windows Phone…,XAML/UX,Sam Jarawan,4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-741
Nano Server: A Cloud Optimized Windows Server for Developers,200 - Intermediate,"Andrew Mason, Jeffrey Snover",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-755
Navigation and Windowing in Universal Windows Apps,App Model,"Andrew Bares, Roberth Karman",4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-779
New OneDrive APIs for Developing Against OneDrive AND OneDrive for Business,300 - Experienced,"Daron Spektor, Ryan Gregg",4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-734
New Retail Peripherals and NFC/HCE Support in Windows 10,"Internet of Things, IoT, Security","Alex McKelvey, Demet Bezmez, Tony Goodhew",4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-773
New Tools from Microsoft Advertising to Help App Developers Grow Audience and Revenue,200 - Intermediate,"Pooja Dave, Trevor Yeats, Vijay Rajagopalan",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-59
New XAML Tools in Visual Studio 2015,"Visual Studio, XAML/UX",Unni Ravindranathan,4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-697
Next Generation Hotspots: Windows 10 & Hotspot 2.0,wifi,Jay Mahendru,4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-80
Office 365 and Azure: A Developer's Guide for Maximizing the Cloud,200 - Intermediate,"Dorrene Brown, Richard diZerega",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-632
Office 365 What's New,,"Jeremy Thake, Rob Lefferts, Seth Juarez",4/30/2015,http://channel9.msdn.com/Events/Build/2015/Office-365-Whats-New
"Office Development Matters, and Here's Why...",200 - Intermediate,"Jeremy Thake, Rob Lefferts",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-616
On the Shoulders of Giants: Building Apps that Consume Modern SaaS Endpoints with Visual Studio 2015,".NET, Visual Studio","Dave Carroll, Steve Lasker",4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-759
Optimizing Windows Apps for Continuum,200 - Intermediate,"Gino Sega, Keri Moran, Liz Threlkeld",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-703
Optimizing Your Build-Time Using Visual C++ 2015,"C++, Visual Studio","Ankit Asthana, Sridhar Madhugiri",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-93
Outside of the Box,,,4/30/2015,http://channel9.msdn.com/Events/Build/2015/C9-22
Overview of Cross-Platform Mobile Development with Office 365,"Android, Cross-Platform Development, iOS, JavaScript, Mobile Development, Office, Visual Studio",Richard diZerega,4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-655
Printing: Developing Apps That Print in Windows 10,200 - Intermediate,Justin Hutchings,4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-94
"Project Centennial"": Converting your Classic Windows App (Win32, .Net, COM) to a Universal Windows…","App Model, Store","David Tepper, John Sheehan",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-692
Python and Node.js: Microsoft’s Best Kept Secrets,"Node.js, Python",Steve Dower,4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-657
